cardId,cardName,set,setCode,cardNumber,snkrdunkProductId,snkrdunkName
"pc-pokemon-japanese-mega-brave-bulbasaur-1","Bulbasaur #1","Japanese Mega Brave","M1L","","628151","Bulbasaur C [M1L 001/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-cinderace-17","Cinderace #17","Japanese Mega Brave","M1L","","639910","Cinderace R [M1L 017/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-hariyama-25","Hariyama #25","Japanese Mega Brave","M1L","","628157","Hariyama R [M1L 025/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-ivysaur-2","Ivysaur #2","Japanese Mega Brave","M1L","","628152","Ivysaur C [M1L 002/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-lillie%27s-determination-62","Lillie's Determination #62","Japanese Mega Brave","M1L","","628161","Lillie&#39;s U [M1L 062/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-makuhita-24","Makuhita #24","Japanese Mega Brave","M1L","","628156","Makuhita C [M1L 024/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-mega-lucario-ex-29","Mega Lucario ex #29","Japanese Mega Brave","M1L","","628159","MEGA Lucario ex RR [M1L 029/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-mega-venusaur-ex-3","Mega Venusaur ex #3","Japanese Mega Brave","M1L","","628153","MEGA Venusaur ex RR [M1L 003/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-night-stretcher-83","Night Stretcher #83","Japanese Mega Brave","M1L","","628162","Night Stretcher SR [M1L 083/063](Expansion Pack &#34;Mega Brave&#34;)"
"pc-pokemon-japanese-mega-brave-ninetales-11","Ninetales #11","Japanese Mega Brave","M1L","","628155","Ninetales U [M1L 011/063](Expansion Pack &#34;Mega Brave&#34;)"
